> dieharder -a -f  /media/psf/M2/RandomData.txt -t 10 

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|    /media/psf/M2/RandomData.txt|  1.36e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.26952996|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.20227643|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.03244919|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.85933067|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.99200737|  PASSED  
        diehard_opso|   0|   2097152|     100|0.90191277|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.93780804|  PASSED  
         diehard_dna|   0|   2097152|     100|0.46876391|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.64161139|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.21344094|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.79252967|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.92073354|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.73840873|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.13591693|  PASSED  
        diehard_sums|   0|       100|     100|0.02079871|  PASSED  
        diehard_runs|   0|    100000|     100|0.08273592|  PASSED  
        diehard_runs|   0|    100000|     100|0.97224267|  PASSED  
       diehard_craps|   0|    200000|     100|0.79245855|  PASSED  
       diehard_craps|   0|    200000|     100|0.92330547|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.25452222|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.50541013|  PASSED  
         sts_monobit|   1|    100000|     100|0.89946578|  PASSED  
            sts_runs|   2|    100000|     100|0.71780071|  PASSED  
          sts_serial|   1|    100000|     100|0.40958677|  PASSED  
          sts_serial|   2|    100000|     100|0.65915441|  PASSED  
          sts_serial|   3|    100000|     100|0.79878622|  PASSED  
          sts_serial|   3|    100000|     100|0.44690311|  PASSED  
          sts_serial|   4|    100000|     100|0.43373716|  PASSED  
          sts_serial|   4|    100000|     100|0.02021472|  PASSED  
          sts_serial|   5|    100000|     100|0.72150949|  PASSED  
          sts_serial|   5|    100000|     100|0.20834461|  PASSED  
          sts_serial|   6|    100000|     100|0.53729559|  PASSED  
          sts_serial|   6|    100000|     100|0.80072596|  PASSED  
          sts_serial|   7|    100000|     100|0.28499216|  PASSED  
          sts_serial|   7|    100000|     100|0.33888017|  PASSED  
          sts_serial|   8|    100000|     100|0.21477068|  PASSED  
